time,lat,lon,h,x,y,z,speed,accel_x,accel_y,accel_z,roll,pitch,yaw,heading
29.28208,37.63146361,126.9703208,50.81763287,-380.11,6162.91,30.82,8.8,1.192538462,7.108,-1.065423077,-0.222434,-0.082522,0.941231,274.35
29.522108,37.63146604,126.9703362,50.81781374,-378.75,6163.18,30.82,9.75,-1.156555556,6.879814815,2.897740741,-0.194097,0.269914,0.740217,281.75
29.763109,37.63147,126.9703528,50.85815375,-377.29,6163.7,30.86,10.67,2.49037037,6.285222222,0.91037037,0.07129,0.01448,0.54235,287.1
30.2108,37.63147496,126.9703702,50.88859604,-375.75,6164.17,30.89,11.59,1.651814815,6.564703704,-0.080148148,0.080739,-0.042391,0.320243,290.54
30.242108,37.63148082,126.9703892,50.91912749,-374.07,6164.82,30.92,12.01,0.019148148,-3.450407407,0.493148148,0.062533,0.041562,0.139449,292.29
30.482108,37.63148676,126.9704076,50.93967265,-372.45,6165.48,30.94,11.5,-0.040518519,-3.386592593,0.587925926,0.090582,0.040305,0.055155,293
30.722108,37.63149271,126.9704252,50.96022236,-370.9,6166.14,30.96,11.37,-0.202615385,3.376538462,0.053961538,0.010633,-0.028092,0.02185,293.29
30.963162,37.63149893,126.9704434,50.96079814,-369.29,6166.83,30.96,11.91,1.940407407,3.62762963,-0.850185185,-0.02003,-0.03283,-0.022231,293.37
31.203163,37.63150433,126.9704623,50.97128365,-367.62,6167.43,30.97,12.03,-1.846666667,2.373037037,0.456037037,-0.001174,0.054141,-0.60497,289.8
31.443162,37.63150902,126.9704821,50.97168749,-365.87,6167.95,30.97,12.5,-6.155407407,2.841962963,-0.254777778,0.126092,-0.193415,-0.258549,285.75
31.683192,37.63151434,126.9705026,50.96215633,-364.06,6168.54,30.96,12.81,-1.699777778,1.648185185,0.154,0.115266,-0.14453,0.401809,286.97
31.923191,37.63152082,126.9705234,50.95275072,-362.23,6169.26,30.95,13.08,1.2428,1.8273,0.308433333,0.049217,-0.046979,0.700754,292.37
